lat,lon,z_m,ch4_ppm,background_ppm,wind_speed_ms,wind_dir_from_deg,stability,source_lat,source_lon,source_height_m,Q_true_gps
7.129878623276883,-73.12351023218984,1.5,1.8802968393537833,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.131410671715372,-73.12533237788851,1.5,1.8827831664295285,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.132176328817159,-73.12304995129443,1.5,1.9491484818415177,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.131190859799335,-73.12392671639121,1.5,1.9360348389549429,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.132499455168652,-73.12720685590602,1.5,1.891765011646307,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.131521680058154,-73.12241357464823,1.5,1.8927283341938639,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.131979234751066,-73.12357992724006,1.5,1.877015920056234,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.127917732721476,-73.12344438771883,1.5,1.8618373917354947,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.1312540869084975,-73.12702231103125,1.5,1.8976623962718295,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.129676722838277,-73.12526980033127,1.5,1.8800429603351194,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.130286544381189,-73.12570259790036,1.5,1.8983029893667598,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.1308315257582295,-73.12267926006294,1.5,1.8679958830191303,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.132535089311443,-73.12421766419823,1.5,1.8847605108337948,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.132614749230316,-73.12324482845209,1.5,1.9029725419060566,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.128857294513864,-73.12530771251646,1.5,1.9073241919556787,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.131261317424229,-73.12648327067164,1.5,1.9083494391748401,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.131348893580735,-73.12470316896068,1.5,1.873590220316859,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.129171686281096,-73.12737195351087,1.5,1.9170937146027112,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.127970427771378,-73.12321834788388,1.5,1.883995766067963,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.127522982098734,-73.12428401148802,1.5,1.912657158292146,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.13149652400104,-73.12359652375116,1.5,1.899787226467636,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.129944420531617,-73.12579108503365,1.5,1.872472250018441,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.13261994058981,-73.12244035304663,1.5,1.8936760459083761,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.1298109992342455,-73.12286221477817,1.5,1.9073072748412752,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.132578806390699,-73.12348615580855,1.5,1.9122593076094918,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.129522870329748,-73.12666054893077,1.5,1.8971802420511115,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.131584688219627,-73.12518097055226,1.5,1.930635660206575,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.127759714007373,-73.12748078649267,1.5,1.9201502154197312,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.130299267485368,-73.126879967203,1.5,1.8948669176720048,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.131629893356293,-73.12400458325465,1.5,1.9150024362427387,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.132291660312403,-73.12366898802587,1.5,1.9386758697037636,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.131740635658578,-73.122457690918,1.5,1.9392096920156605,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.127501526624795,-73.12594715840793,1.5,1.87544000238355,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.129313110790926,-73.12570443766832,1.5,1.881469337776857,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.127564808712206,-73.12516555492243,1.5,1.9296983757346768,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.127891714735505,-73.12668864887563,1.5,1.8788343789832471,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.130945936836999,-73.12701247985393,1.5,1.8735491773341664,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.131150726221494,-73.12513211615165,1.5,1.890276832228111,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.131476977543912,-73.12648506179433,1.5,1.9084045341894915,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.131971977818146,-73.12407655470896,1.5,1.897952065867778,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.131291955356427,-73.1253417666764,1.5,1.886988727591888,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.1316234819403315,-73.12319090226246,1.5,1.8865157507655097,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.127566239915144,-73.12391096216334,1.5,1.8857532587117458,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.12856757035108,-73.12602034665507,1.5,1.882409807426821,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.130657751807858,-73.12319317748474,1.5,1.9456326575455212,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.1319324189444515,-73.12334269718858,1.5,1.905950221423711,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.127326317539769,-73.12561189044648,1.5,1.9177351810880947,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.130078938900674,-73.12615106776704,1.5,1.8902184506376214,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.130956630332233,-73.1240075929013,1.5,1.896280866456279,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.12746179403108,-73.12695901918002,1.5,1.8857289203725929,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.129467721529624,-73.12663189351868,1.5,1.846965833301616,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.1321348179813,-73.12767895465882,1.5,1.8724398144630425,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.130926010641139,-73.12343971066234,1.5,1.863787626400392,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.1285844229882285,-73.12410354416002,1.5,1.8550043244409677,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.13190358215223,-73.12388431455174,1.5,1.876092820514038,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.129179988253909,-73.12347340083932,1.5,1.9264991135876326,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.1319066229825765,-73.12522341523551,1.5,1.8991112869788085,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
7.128915114088665,-73.12462618667665,1.5,1.9258112752464234,1.9,4.0,270.0,D,7.13,-73.125,2.0,0.3
